#! FIELDS p.x file.free der_p.x
#! SET min_p.x -2.0
#! SET max_p.x 2.0
#! SET nbins_p.x  201
#! SET periodic_p.x false
   -2.000000000   -3.676949847  -56.955859657
   -1.980000000   -4.939100759  -69.080099195
   -1.960000000   -6.442082651  -80.827578900
   -1.940000000   -8.169152297  -91.305652215
   -1.920000000  -10.085862996  -99.664341302
   -1.900000000  -12.142405909 -105.225848962
   -1.880000000  -14.277931790 -107.576469741
   -1.860000000  -16.426885703 -106.633762573
   -1.840000000  -18.526537243 -102.684784102
   -1.820000000  -20.522238905  -96.305832422
   -1.800000000  -22.373475603  -88.313708704
   -1.780000000  -24.055816168  -79.602396609
   -1.760000000  -25.563188248  -71.055266513
   -1.740000000  -26.909765498  -63.535623460
   -1.720000000  -28.119204512  -57.500780472
   -1.700000000  -29.225747771  -53.190203106
   -1.680000000  -30.262684207  -50.437865556
   -1.660000000  -31.254295229  -48.689487437
   -1.640000000  -32.217158360  -47.371833077
   -1.620000000  -33.151565654  -45.802685271
   -1.600000000  -34.048855055  -43.564244081
   -1.580000000  -34.892746751  -40.473092652
   -1.560000000  -35.667538465  -36.674707295
   -1.540000000  -36.361795270  -32.528896909
   -1.520000000  -36.971624125  -28.478506929
   -1.500000000  -37.505038768  -24.805065716
   -1.480000000  -37.967965485  -21.699469248
   -1.460000000  -38.373393901  -18.988618219
   -1.440000000  -38.728691930  -16.652640590
   -1.420000000  -39.040922400  -14.418275150
   -1.400000000  -39.305116057  -12.225120529
   -1.380000000  -39.524109640   -9.916233216
   -1.360000000  -39.696125149   -7.676485549
   -1.340000000  -39.828267048   -5.492507709
   -1.320000000  -39.918910608   -3.713630636
   -1.300000000  -39.975822989   -2.307588154
   -1.280000000  -40.009891056   -1.094547620
   -1.260000000  -40.019392095   -0.002722961
   -1.240000000  -40.005447874    1.295006341
   -1.220000000  -39.960261411    3.031178434
   -1.200000000  -39.873934606    5.252359300
   -1.180000000  -39.737965788    7.987439273
   -1.160000000  -39.547498433   10.854143495
   -1.140000000  -39.301344258   13.479493054
   -1.120000000  -39.009220300   15.425942690
   -1.100000000  -38.686347957   16.460910920
   -1.080000000  -38.353094188   16.492480653
   -1.060000000  -38.024942863   15.848560569
   -1.040000000  -37.711670012   15.008817164
   -1.020000000  -37.417264883   14.454158069
   -1.000000000  -37.124256338   14.505798358
   -0.980000000  -36.824243266   15.351161113
   -0.960000000  -36.498502450   16.903008024
   -0.940000000  -36.135320461   18.914468611
   -0.920000000  -35.731464932   21.131793886
   -0.900000000  -35.286577372   22.919927043
   -0.880000000  -34.813807249   24.097219107
   -0.860000000  -34.322078388   24.570752893
   -0.840000000  -33.828808336   24.401528788
   -0.820000000  -33.343266947   23.744999966
   -0.800000000  -32.871423196   22.946710621
   -0.780000000  -32.418882172   22.145674829
   -0.760000000  -31.976567833   21.717313649
   -0.740000000  -31.538564896   21.748977973
   -0.720000000  -31.096306191   22.340753879
   -0.700000000  -30.639153004   23.228834724
   -0.680000000  -30.160493037   24.265024381
   -0.660000000  -29.662668580   25.143647731
   -0.640000000  -29.152657889   25.482884809
   -0.620000000  -28.641958076   24.914757721
   -0.600000000  -28.154386990   23.309002822
   -0.580000000  -27.707719134   20.742916655
   -0.560000000  -27.321046195   17.584167799
   -0.540000000  -26.999721726   14.163125727
   -0.520000000  -26.745099402   11.182211046
   -0.500000000  -26.541315217    9.158844520
   -0.480000000  -26.363720172    8.551854697
   -0.460000000  -26.185423706    9.387486934
   -0.440000000  -25.976473171   11.522800350
   -0.420000000  -25.711607752   14.397321257
   -0.400000000  -25.388724092   17.569007632
   -0.380000000  -25.007391523   20.190039954
   -0.360000000  -24.584889416   21.725874533
   -0.340000000  -24.143707975   21.816426517
   -0.320000000  -23.715232850   20.582046869
   -0.300000000  -23.323910674   18.239526584
   -0.280000000  -22.982636174   15.317106973
   -0.260000000  -22.704101982   12.434386715
   -0.240000000  -22.479581674    9.804606992
   -0.220000000  -22.303477334    7.808401849
   -0.200000000  -22.157770428    6.561749032
   -0.180000000  -22.032793182    6.042214235
   -0.160000000  -21.913394022    5.855284504
   -0.140000000  -21.793662531    5.856942236
   -0.120000000  -21.676294186    5.832403899
   -0.100000000  -21.559424116    5.536508805
   -0.080000000  -21.452218855    4.815900505
   -0.060000000  -21.365376812    3.782358505
   -0.040000000  -21.297473896    2.335923471
   -0.020000000  -21.264684803    0.859903807
    0.000000000  -21.261562971   -0.639524589
    0.020000000  -21.288371190   -1.956586604
    0.040000000  -21.337946316   -3.063697390
    0.060000000  -21.405059727   -3.749267050
    0.080000000  -21.484339304   -4.201794407
    0.100000000  -21.571284060   -4.556301086
    0.120000000  -21.664167170   -4.798321287
    0.140000000  -21.760137521   -5.160215245
    0.160000000  -21.866420657   -5.651083765
    0.180000000  -21.985553264   -6.354476398
    0.200000000  -22.119828439   -7.269143084
    0.220000000  -22.276659662   -8.473712516
    0.240000000  -22.459004829   -9.880342505
    0.260000000  -22.670626164  -11.289622244
    0.280000000  -22.909452463  -12.812019283
    0.300000000  -23.177245871  -14.090700536
    0.320000000  -23.467221674  -14.933334719
    0.340000000  -23.770990174  -15.427801727
    0.360000000  -24.082681173  -15.638820548
    0.380000000  -24.393433244  -15.546003644
    0.400000000  -24.701189026  -15.348781599
    0.420000000  -25.005243678  -15.265073408
    0.440000000  -25.310941535  -15.525530961
    0.460000000  -25.627043548  -15.969769520
    0.480000000  -25.954969594  -16.878300395
    0.500000000  -26.303558799  -18.154009089
    0.520000000  -26.678569204  -19.649537534
    0.540000000  -27.088561013  -21.192600631
