#! FIELDS p.x file.free der_p.x
#! SET min_p.x -2.0
#! SET max_p.x 2.0
#! SET nbins_p.x  201
#! SET periodic_p.x false
   -2.000000000 -101.368923127 -140.237144010
   -1.980000000 -104.057384099 -127.509367887
   -1.960000000 -106.452437501 -111.137504458
   -1.940000000 -108.489745553  -92.152459040
   -1.920000000 -110.136542868  -72.780589464
   -1.900000000 -111.413004275  -55.225302130
   -1.880000000 -112.376154512  -41.955451172
   -1.860000000 -113.131490174  -34.764683213
   -1.840000000 -113.805273790  -34.076634080
   -1.820000000 -114.530310152  -39.385315628
   -1.800000000 -115.414770394  -49.456000011
   -1.780000000 -116.513889252  -61.721886755
   -1.760000000 -117.865693242  -72.924442996
   -1.740000000 -119.409920451  -81.069473806
   -1.720000000 -121.071213674  -84.527319446
   -1.700000000 -122.744858057  -82.718869106
   -1.680000000 -124.342469152  -76.431964519
   -1.660000000 -125.785123011  -67.469869942
   -1.640000000 -127.034438989  -57.669540662
   -1.620000000 -128.088352499  -48.677208052
   -1.600000000 -128.978104682  -41.835341850
   -1.580000000 -129.757722156  -37.059662533
   -1.560000000 -130.468062701  -34.689488989
   -1.540000000 -131.146644532  -33.614209935
   -1.520000000 -131.803296948  -33.344060622
   -1.500000000 -132.461219181  -32.856792915
   -1.480000000 -133.104660006  -31.627583265
   -1.460000000 -133.711643195  -30.058787441
   -1.440000000 -134.287212079  -27.516074104
   -1.420000000 -134.801654547  -24.244386895
   -1.400000000 -135.240230117  -20.561042340
   -1.380000000 -135.608374406  -16.468600332
   -1.360000000 -135.888439698  -12.500854985
   -1.340000000 -136.095160450   -8.826626152
   -1.320000000 -136.234171588   -6.075058376
   -1.300000000 -136.325163173   -4.751218599
   -1.280000000 -136.401413809   -4.055815841
   -1.260000000 -136.484011552   -4.458361430
   -1.240000000 -136.571537403   -5.212000470
   -1.220000000 -136.673233812   -5.589178490
   -1.200000000 -136.777716348   -5.169463758
   -1.180000000 -136.866517830   -3.671303835
   -1.160000000 -136.902751967   -1.146398458
   -1.140000000 -136.876009835    2.221660729
   -1.120000000 -136.776615456    6.298128964
   -1.100000000 -136.600949153   10.628490293
   -1.080000000 -136.345896838   14.679876579
   -1.060000000 -135.997669497   18.344955648
   -1.040000000 -135.590840805   22.026842471
   -1.020000000 -135.099211762   25.661063793
   -1.000000000 -134.533938734   29.634533406
   -0.980000000 -133.887294940   34.189093349
   -0.960000000 -133.153217280   38.933720463
   -0.940000000 -132.321318869   43.473871138
   -0.920000000 -131.400153594   47.219848657
   -0.900000000 -130.410105724   50.160295300
   -0.880000000 -129.381192967   51.587483631
   -0.860000000 -128.347932574   50.680009266
   -0.840000000 -127.361659740   47.094604369
   -0.820000000 -126.460469336   41.045073128
   -0.800000000 -125.707157394   32.880548834
   -0.780000000 -125.137631761   23.149963210
