#! FIELDS p.x file.free der_p.x
#! SET min_p.x -2.0
#! SET max_p.x 2.0
#! SET nbins_p.x  201
#! SET periodic_p.x false
   -2.000000000 -137.586109039 -113.795614086
   -1.980000000 -139.800835881 -108.046284071
   -1.960000000 -141.914986876 -103.398414603
   -1.940000000 -143.942058573  -99.622369851
   -1.920000000 -145.896996218  -96.238303865
   -1.900000000 -147.785415632  -92.842858082
   -1.880000000 -149.613036096  -90.033363178
   -1.860000000 -151.385462150  -87.332774297
   -1.840000000 -153.105225992  -84.837065608
   -1.820000000 -154.773530965  -82.497086084
   -1.800000000 -156.397615731  -79.901353802
   -1.780000000 -157.962822228  -76.755386972
   -1.760000000 -159.465429528  -73.576518023
   -1.740000000 -160.892962316  -70.250063659
   -1.720000000 -162.258342862  -66.945603959
   -1.700000000 -163.561542372  -64.125674337
   -1.680000000 -164.812673843  -62.008039399
   -1.660000000 -166.033461083  -60.345344545
   -1.640000000 -167.219335189  -58.707872995
   -1.620000000 -168.367097274  -56.407528212
   -1.600000000 -169.462068693  -52.731579733
   -1.580000000 -170.453344336  -47.683927315
   -1.560000000 -171.331709275  -40.778703104
   -1.540000000 -172.059438905  -32.887985828
   -1.520000000 -172.630434343  -25.074652535
   -1.500000000 -173.051997733  -18.382296499
   -1.480000000 -173.361043570  -13.587125956
   -1.460000000 -173.599299546  -11.277107393
   -1.440000000 -173.811320755  -11.261320344
   -1.420000000 -174.049637877  -12.889042273
   -1.400000000 -174.322819037  -15.635162351
   -1.380000000 -174.646260077  -17.754480827
   -1.360000000 -174.995787955  -18.424984812
   -1.340000000 -175.338707370  -16.556344596
   -1.320000000 -175.618886074  -12.473830065
   -1.300000000 -175.801916851   -6.212795354
   -1.280000000 -175.854475965    0.466943284
   -1.260000000 -175.771847490    6.702878567
   -1.240000000 -175.574373703   11.129977169
   -1.220000000 -175.309036910   13.302192201
   -1.200000000 -175.028120907   12.910569497
   -1.180000000 -174.781228423   10.622858412
   -1.160000000 -174.592300185    7.568677398
   -1.140000000 -174.458023831    4.485895750
   -1.120000000 -174.372087263    3.146430902
   -1.100000000 -174.297858672    3.549898792
   -1.080000000 -174.200169528    5.539152425
   -1.060000000 -174.046973129    8.518159523
   -1.040000000 -173.837379161   11.858014648
   -1.020000000 -173.561541106   14.027324914
   -1.000000000 -173.256123441   15.353167904
   -0.980000000 -172.934032071   15.419085890
   -0.960000000 -172.618782182   15.090713340
   -0.940000000 -172.309090767   14.879381186
   -0.920000000 -171.991555906   15.396452211
   -0.900000000 -171.655536285   17.253628722
   -0.880000000 -171.274599620   20.005512454
   -0.860000000 -170.824727950   23.520835896
